Date,Weekday,Hour,HOEP,Ontario_Demand,Temperature,Windchill_Index,Wind_Speed,Humidex,Relative_Humidity,Dew_Point,Pressure_Station
2016-01-01,Friday,0,0.49,14023,-0.3,-5.62,20,-3.18,70,-5.1,99.67
2016-01-01,Friday,1,-1.09,13417,-0.3,-6.30,25,-3.48,68,-5.5,99.63
2016-01-01,Friday,2,-2.41,12968,-0.4,-6.55,26,-3.43,73,-4.7,99.59
2016-01-01,Friday,12,0,14215,-2.1,-8.72,23,-4.86,76,-5.8,99.39
2016-01-01,Friday,13,0,14443,-2.4,-8.23,19,-5.09,84,-4.7,99.35
2016-01-01,Friday,14,0,14733,-2.4,-9.96,32,-5.42,81,-5.2,99.32
2016-01-01,Friday,15,0,14907,-2.2,-9.75,29,-5.59,71,-6.8,99.34
2016-01-01,Friday,16,0,14981,-2.3,-9.51,27,-5.79,68,-7.4,99.38
2016-01-01,Friday,17,1,15763,-3.1,-11.19,35,-5.82,71,-7.6,99.41
2016-01-01,Friday,18,6.34,16979,-2.9,-11.19,35,-6.39,71,-7.4,99.48
2016-01-01,Friday,19,5.88,16859,-2.8,-10.41,28,-6.34,73,-7,99.54
2016-01-01,Friday,20,5.81,16552,-3.1,-10.16,26,-6.22,73,-7.3,99.57
2016-01-01,Friday,21,5.7,16165,-3.4,-10.67,27,-6.66,74,-7.4,99.58
2016-01-01,Friday,22,6.51,15701,-3,-10.54,26,-6.48,72,-7.4,99.61
2016-01-01,Friday,23,2.75,14866,-3.1,-10.28,28,-6.51,71,-7.6,99.6
2016-01-02,Saturday,0,0,14164,-3.6,-10.93,26,-6.76,70,-8.3,99.63
2016-01-02,Saturday,1,0,13251,-4,-11.44,26,-7.31,71,-8.5,99.62
2016-01-02,Saturday,2,0,12844,-3.2,-11.71,27,-7.01,65,-8.9,99.6
2016-01-02,Saturday,3,-0.85,12673,-3.2,-7.26,10,-6.96,67,-8.5,99.58
2016-01-02,Saturday,7,-1.64,13064,-2.3,-7.94,18,-5.68,72,-6.7,99.36
2016-01-02,Saturday,8,-1.29,13780,-2.4,-7.38,15,-5.79,72,-6.8,99.37
2016-01-02,Saturday,9,3.61,14305,-2.1,-8.11,19,-5.50,74,-6.1,99.37
2016-01-02,Saturday,10,7.49,15068,-1.7,-8.19,22,-5.04,74,-5.7,99.41
2016-01-02,Saturday,11,12.36,15536,-1.5,-6.51,15,-4.77,75,-5.4,99.39
2016-01-02,Saturday,12,10.72,15852,-1.1,-7.43,22,-4.34,74,-5.2,99.28
2016-01-02,Saturday,13,11.25,16059,-0.8,-7.57,27,-4.02,73,-5.1,99.18
2016-01-02,Saturday,14,0,15750,-0.5,-6.54,22,-3.73,71,-5.1,99.13
2016-01-02,Saturday,15,0,15564,-0.5,-5.72,19,-3.68,69,-5.5,99.07
2016-01-02,Saturday,16,0,15571,-0.7,-5.97,19,-3.76,70,-5.5,99.05
2016-01-02,Saturday,17,2.96,16207,-0.8,-6.38,20,-4.03,69,-5.8,99.03
2016-01-02,Saturday,18,5.85,17163,-0.6,-6.81,23,-3.95,68,-5.8,99.04
2016-01-02,Saturday,19,5.6,17100,-0.5,-6.80,26,-3.65,70,-5.3,98.97
2016-01-02,Saturday,20,1.82,16710,-0.4,-7.15,29,-3.65,70,-5.2,98.88
2016-01-02,Saturday,21,0,16124,-0.1,-7.13,30,-3.16,74,-4.2,98.74
2016-01-02,Saturday,22,0,15699,0.3,-5.91,24,-2.69,74,-3.8,98.65
2016-01-02,Saturday,23,0,14983,0.1,-5.90,26,-2.77,75,-3.8,98.57
2016-01-03,Sunday,0,8.1,15533,-0.1,-5.79,23,-2.62,76,-3.8,98.54
2016-01-03,Sunday,1,-0.35,13432,0.2,-7.07,32,-2.79,71,-4.5,98.44
2016-01-03,Sunday,7,-2.64,12973,0.6,-5.02,22,-2.37,73,-3.7,98.55
2016-01-03,Sunday,8,-0.25,13613,0.4,-4.59,19,-2.15,79,-2.8,98.61
2016-01-03,Sunday,9,-0.37,14155,1.1,-5.87,28,-1.81,72,-3.4,98.63
2016-01-03,Sunday,10,0,14696,1.4,-4.70,28,-1.56,69,-3.7,98.71
2016-01-03,Sunday,11,0,15182,1.6,-3.87,23,-1.17,73,-2.7,98.76
2016-01-03,Sunday,12,0,15434,0,-7.53,40,-1.29,70,-4.8,98.86
2016-01-03,Sunday,13,0.76,15650,-0.8,-8.38,39,-2.61,63,-7,98.9
2016-01-03,Sunday,14,0,15533,-1.4,-9.30,32,-3.88,63,-7.6,99.03
2016-01-03,Sunday,15,5.17,15602,-2.3,-9.24,28,-5.20,61,-8.8,99.15
2016-01-03,Sunday,16,5.89,15748,-3.1,-10.28,27,-5.65,65,-8.8,99.25
2016-01-03,Sunday,17,9.27,16863,-4.3,-12.75,36,-6.65,70,-9,99.38
2016-01-03,Sunday,18,21.67,18423,-5.3,-13.13,28,-8.27,69,-10.1,99.48
2016-01-03,Sunday,19,20.89,18512,-5.9,-12.51,19,-9.08,68,-10.9,99.58
